cum	dayOffset	fromHour	max	mean	min	region	timestamp	toHour	weatherParam
-1.0	-1	12	284.576171875	283.240966797	281.857910156	0	2017-11-02	18	2t
-1.0	-1	0	277.485595703	277.316040039	277.146484375	1	2017-11-02	6	2t
-1.0	-1	6	286.755859375	282.615397135	277.485595703	1	2017-11-02	12	2t
-1.0	-1	6	286.755859375	283.303613281	277.485595703	1	2017-11-02	18	2t
-1.0	-1	12	286.755859375	285.142578125	282.844238281	1	2017-11-02	18	2t
-1.0	-1	0	276.804931641	276.800170898	276.795410156	2	2017-11-02	6	2t
-1.0	-1	6	289.211425781	284.119059245	276.804931641	2	2017-11-02	12	2t
-1.0	-1	6	289.211425781	284.114892578	276.804931641	2	2017-11-02	18	2t
-1.0	-1	12	289.211425781	285.809570312	281.497070312	2	2017-11-02	18	2t
-1.0	-1	0	274.885498047	274.490844727	274.096191406	3	2017-11-02	6	2t
-1.0	-1	6	281.772705078	278.931966146	274.885498047	3	2017-11-02	12	2t
-1.0	-1	6	281.772705078	278.639794922	274.885498047	3	2017-11-02	18	2t
-1.0	-1	12	281.772705078	279.391927083	276.887451172	3	2017-11-02	18	2t
-1.0	-1	0	279.189697266	279.174926758	279.16015625	4	2017-11-02	6	2t
-1.0	-1	6	288.562744141	284.131266276	279.189697266	4	2017-11-02	12	2t
-1.0	-1	6	288.562744141	284.772265625	279.189697266	4	2017-11-02	18	2t
-1.0	-1	12	288.562744141	286.676757812	284.178466797	4	2017-11-02	18	2t
-1.0	-1	0	278.220703125	278.001342773	277.781982422	5	2017-11-02	6	2t
-1.0	-1	6	288.298339844	283.327880859	277.781982422	5	2017-11-02	12	2t
-1.0	-1	6	288.298339844	283.953417969	277.781982422	5	2017-11-02	18	2t
-1.0	-1	12	288.298339844	286.02726237	283.079101562	5	2017-11-02	18	2t
-1.0	-1	0	279.75	278.718383789	277.686767578	6	2017-11-02	6	2t
-1.0	-1	6	285.198974609	281.404622396	277.686767578	6	2017-11-02	12	2t
-1.0	-1	6	285.198974609	281.794726562	277.686767578	6	2017-11-02	18	2t
-1.0	-1	12	285.198974609	283.319580078	280.893310547	6	2017-11-02	18	2t
-1.0	-1	0	276.131347656	275.809204102	275.487060547	7	2017-11-02	6	2t
-1.0	-1	6	284.862792969	280.865804036	275.487060547	7	2017-11-02	12	2t
-1.0	-1	6	284.862792969	281.547607422	275.487060547	7	2017-11-02	18	2t
-1.0	-1	12	284.862792969	283.334472656	281.696289062	7	2017-11-02	18	2t
-1.0	-1	0	285.572021484	284.935913086	284.299804688	8	2017-11-02	6	2t
-1.0	-1	6	289.012695312	287.687255859	285.572021484	8	2017-11-02	12	2t
-1.0	-1	6	289.012695312	287.681396484	285.572021484	8	2017-11-02	18	2t
-1.0	-1	12	289.012695312	288.119303385	287.178955078	8	2017-11-02	18	2t
-1.0	-1	0	279.530029297	279.103149414	278.676269531	9	2017-11-02	6	2t
-1.0	-1	6	287.892089844	283.8828125	279.530029297	9	2017-11-02	12	2t
-1.0	-1	6	287.892089844	284.328076172	279.530029297	9	2017-11-02	18	2t
-1.0	-1	12	287.892089844	285.961344401	283.671386719	9	2017-11-02	18	2t
-1.0	-1	0	278.628173828	278.185424805	277.742675781	10	2017-11-02	6	2t
-1.0	-1	6	287.154541016	283.575520833	278.628173828	10	2017-11-02	12	2t
-1.0	-1	6	287.154541016	283.726806641	278.628173828	10	2017-11-02	18	2t
-1.0	-1	12	287.154541016	285.020670573	282.483886719	10	2017-11-02	18	2t
-1.0	-1	0	277.256347656	276.38659668	275.516845703	11	2017-11-02	6	2t
-1.0	-1	6	286.92578125	281.561116536	275.516845703	11	2017-11-02	12	2t
-1.0	-1	6	286.92578125	282.407128906	275.516845703	11	2017-11-02	18	2t
-1.0	-1	12	286.92578125	284.759358724	281.986328125	11	2017-11-02	18	2t
-1.0	-1	0	277.91796875	276.726196289	275.534423828	12	2017-11-02	6	2t
-1.0	-1	6	288.342529297	282.942626953	275.534423828	12	2017-11-02	12	2t
-1.0	-1	6	288.342529297	283.337011719	275.534423828	12	2017-11-02	18	2t
-1.0	-1	12	288.342529297	285.399902344	281.991943359	12	2017-11-02	18	2t
-1.0	-1	0	278.500732422	278.167602539	277.834472656	13	2017-11-02	6	2t
-1.0	-1	6	284.173095703	281.72249349	278.500732422	13	2017-11-02	12	2t
-1.0	-1	6	284.173095703	281.933056641	278.500732422	13	2017-11-02	18	2t
-1.0	-1	12	284.173095703	282.890299479	281.357666016	13	2017-11-02	18	2t
-1.0	-1	0	274.885498047	274.490844727	274.096191406	14	2017-11-02	6	2t
-1.0	-1	6	281.772705078	278.931966146	274.885498047	14	2017-11-02	12	2t
-1.0	-1	6	281.772705078	278.639794922	274.885498047	14	2017-11-02	18	2t
-1.0	-1	12	281.772705078	279.391927083	276.887451172	14	2017-11-02	18	2t
-1.0	-1	0	275.620605469	275.118774414	274.616943359	15	2017-11-02	6	2t
-1.0	-1	6	284.260253906	279.873209635	274.616943359	15	2017-11-02	12	2t
-1.0	-1	6	284.260253906	280.471240234	274.616943359	15	2017-11-02	18	2t
-1.0	-1	12	284.260253906	282.332275391	278.764160156	15	2017-11-02	18	2t
-1.0	0	0	280.563964844	279.810546875	279.057128906	0	2017-11-02	6	2t
-1.0	0	6	283.810058594	282.461995443	280.563964844	0	2017-11-02	12	2t
-1.0	0	6	283.810058594	282.353466797	280.563964844	0	2017-11-02	18	2t
-1.0	0	12	283.810058594	282.73046875	281.651611328	0	2017-11-02	18	2t
-1.0	0	0	277.296386719	277.112548828	276.928710938	1	2017-11-02	6	2t
-1.0	0	6	285.561035156	282.141031901	276.928710938	1	2017-11-02	12	2t
-1.0	0	6	285.561035156	282.839648437	276.928710938	1	2017-11-02	18	2t
-1.0	0	12	285.561035156	284.44539388	283.017089844	1	2017-11-02	18	2t
-1.0	0	0	277.978515625	277.516601562	277.0546875	2	2017-11-02	6	2t
-1.0	0	6	288.758789062	284.013346354	277.0546875	2	2017-11-02	12	2t
-1.0	0	6	288.758789062	284.177490234	277.0546875	2	2017-11-02	18	2t
-1.0	0	12	288.758789062	285.868733724	282.499755859	2	2017-11-02	18	2t
-1.0	0	0	274.926757812	274.48046875	274.034179688	3	2017-11-02	6	2t
-1.0	0	6	281.941162109	279.037027995	274.926757812	3	2017-11-02	12	2t
-1.0	0	6	281.941162109	278.806152344	274.926757812	3	2017-11-02	18	2t
-1.0	0	12	281.941162109	279.620279948	277.296142578	3	2017-11-02	18	2t
-1.0	0	0	279.850097656	279.419677734	278.989257812	4	2017-11-02	6	2t
-1.0	0	6	287.596923828	283.837483724	278.989257812	4	2017-11-02	12	2t
-1.0	0	6	287.596923828	284.552783203	278.989257812	4	2017-11-02	18	2t
-1.0	0	12	287.596923828	286.282796224	284.390136719	4	2017-11-02	18	2t
